station_id,station_name,station_lat,station_lon,grid_lat,grid_lon,distance_deg
533520-99999,BAILING-MIAO,41.7,110.433,41.75,110.5,0.0836002392341002
533910-99999,HUADE,41.9,114.0,42.0,114.0,0.10000000000000142
534630-99999,BAITA,40.851,111.824,40.75,111.75,0.12520782723136573
534800-99999,JINING,41.033,113.067,41.0,113.0,0.07468600939934569
534870-99999,DATONG,40.083,113.417,40.0,113.5,0.11737972567696464
535640-99999,HEQU,39.367,111.217,39.25,111.25,0.12156479753612663
535880-99999,WUTAI SHAN,38.95,113.517,39.0,113.5,0.05281098370603957
535930-99999,YU XIAN,39.833,114.567,39.75,114.5,0.10666770832824152
536730-99999,YUANPING,38.75,112.7,38.75,112.75,0.04999999999999716
536980-99999,SHIJIAZHUANG,38.067,114.35,38.0,114.25,0.1203702621082088
537640-99999,LISHI,37.5,111.1,37.5,111.0,0.09999999999999432
537720-99999,WUSU,37.747,112.628,37.75,112.75,0.12203687967167946
537870-99999,YUSHE,37.067,112.983,37.0,113.0,0.06912307863514097
537980-99999,XINGTAI,37.183,114.367,37.25,114.25,0.13482581355215723
538630-99999,JIEXIU,37.033,111.917,37.0,112.0,0.08931965069344941
538980-99999,ANYANG,36.05,114.133,36.0,114.25,0.1272360011946334
539590-99999,YUNCHENG,35.117,111.067,35.0,111.0,0.1348258135521475
539750-99999,YANGCHENG,35.483,112.4,35.5,112.5,0.10143470806385241
543080-99999,FENGNING,41.2,116.633,41.25,116.75,0.1272360011946334
543110-99999,WEICHANG,41.933,117.75,42.0,117.75,0.06700000000000017
543240-99999,CHAOYANG,41.55,120.45,41.5,120.5,0.07071067811865074
543370-99999,JINZHOU,41.133,121.117,41.25,121.0,0.16546298679765337
544010-99999,ZHANGJIAKOU,40.783,114.883,40.75,115.0,0.12156479753613346
544050-99999,HUAILAI,40.417,115.5,40.5,115.5,0.08299999999999841
544230-99999,CHENGDE,40.967,117.917,41.0,118.0,0.08931965069344941
544360-99999,QINGLONG,40.4,118.95,40.5,119.0,0.11180339887498948
544710-99999,YINGKOU,40.667,122.2,40.75,122.25,0.09689685237405522
545110-99999,BEIJING - CAPITAL INTERNATIONAL AIRPORT,40.08,116.585,40.0,116.5,0.1167261752992818
545270-99999,TIANJIN,39.1,117.167,39.0,117.25,0.1299576854210632
545273-99999,TIANJIN BINHAI INTL,39.124,117.346,39.0,117.25,0.15681836627130535
545340-99999,TANGSHAN,39.65,118.1,39.75,118.0,0.1414213562373065
545390-99999,LETING,39.433,118.9,39.5,119.0,0.1203702621082088
546020-99999,BAODING,38.733,115.483,38.75,115.5,0.024041630560341854
546620-99999,ZHOUSHUIZI,38.966,121.539,39.0,121.5,0.05173973328110652
547150-99999,LINGXIAN,37.333,116.567,37.25,116.5,0.10666770832824152
547250-99999,HUIMIN,37.5,117.533,37.5,117.5,0.03300000000000125
547510-99999,CHANG DAO,37.933,120.717,38.0,120.75,0.07468600939935206
547530-99999,LONGKOU,37.617,120.317,37.5,120.25,0.1348258135521475
547760-99999,CHENGSHANTOU,37.4,122.683,37.5,122.75,0.12037026210821075
548080-99999,XINXIAN,36.233,115.667,36.25,115.75,0.08472307831989959
548230-99999,JINAN/TSINAN,36.683,116.983,36.75,117.0,0.06912307863514097
548260-99999,TAI SHAN,36.25,117.1,36.25,117.0,0.09999999999999432
548360-99999,YIYUAN,36.183,118.15,36.25,118.25,0.1203702621082088
548430-99999,WEIFANG,36.767,119.183,36.75,119.25,0.06912307863513585
548570-99999,LIUTING / QINGDAO INTL,36.266,120.374,36.25,120.25,0.1250279968646973
548630-99999,HAIYANG,36.767,121.167,36.75,121.25,0.08472307831989959
549160-99999,YANZHOU,35.567,116.85,35.5,116.75,0.1203702621082088
549450-99999,RIZHAO,35.433,119.533,35.5,119.5,0.07468600939935206
570460-99999,HUA SHAN,34.483,110.083,34.5,110.0,0.08472307831989959
570670-99999,LUSHI,34.083,111.067,34.0,111.0,0.10666770832824152
570710-99999,MENGJIN,34.817,112.433,34.75,112.5,0.09475230867899259
570830-99999,XINZHENG,34.52,113.841,34.5,113.75,0.09317188417113303
571780-99999,NANYANG,33.1,112.483,33.0,112.5,0.10143470806385822
571930-99999,XIHUA,33.783,114.517,33.75,114.5,0.03712142238654041
572590-99999,FANGXIAN,32.033,110.767,32.0,110.75,0.03712142238654041
572650-99999,LAOHEKOU,32.433,111.733,32.5,111.75,0.06912307863514097
572790-99999,ZAOYANG,32.15,112.667,32.25,112.75,0.1299576854210632
572900-99999,ZHUMADIAN,32.933,113.917,33.0,114.0,0.10666770832824599
572970-99999,XINYANG,32.133,114.05,32.25,114.0,0.12723600119462689
580270-99999,XUZHOU,34.283,117.15,34.25,117.25,0.10530432089899705
580280-99999,XUZHOU / GUANYIN ARPT,34.059,117.556,34.0,117.5,0.08134494452637737
580400-99999,GANYU,34.85,119.133,34.75,119.25,0.15391231269785183
581020-99999,BOXIAN,33.783,115.733,33.75,115.75,0.03712142238654041
581500-99999,SHEYANG,33.75,120.3,33.75,120.25,0.04999999999999716
582030-99999,FUYANG,32.867,115.733,32.75,115.75,0.11822859214250686
582080-99999,GUSHI,32.167,115.617,32.25,115.5,0.14345033983926553
582210-99999,BENGBU,32.85,117.3,32.75,117.25,0.11180339887498948
582510-99999,DONGTAI,32.85,120.283,32.75,120.25,0.1053043208990038
582650-99999,LUSI,32.067,121.6,32.0,121.5,0.1203702621082088
